order_trip_id,driver_id,customer_id,restaurant_id,order_status,delivery_status,is_completed,order_total_usd,taxes_usd,tip_usd,gross_bookings_usd,customer_request_timestamp,restaurant_accept_timestamp,driver_accept_timestamp,driver_arrival_pickup_timestamp_utc,driver_dropoff_timestamp_utc,datestr
2088,388,89,40088,completed,completed,TRUE,23,2.30,6,31.30,25:32.0,37:03.2,48:34.4,00:05.6,11:36.8,1/8/2022
2089,389,90,40089,completed,completed,TRUE,54,5.40,9,68.40,14:17.0,25:48.2,37:19.4,48:50.6,00:21.8,1/9/2022
2090,390,91,40090,completed,completed,TRUE,39,3.90,6,48.90,13:42.0,25:13.2,36:44.4,48:15.6,59:46.8,2/19/2022
2091,391,92,40091,completed,completed,TRUE,19,1.90,5,25.90,54:31.0,06:02.2,17:33.4,29:04.6,40:35.8,2/13/2022
2092,392,93,40092,completed,completed,TRUE,45,4.50,8,57.50,22:46.0,34:17.2,45:48.4,57:19.6,08:50.8,1/31/2022
2093,393,94,40093,completed,completed,TRUE,16,1.60,6,23.60,16:37.0,28:08.2,39:39.4,51:10.6,02:41.8,2/15/2022
2094,394,95,40094,completed,completed,TRUE,33,3.30,9,45.30,11:37.0,23:08.2,34:39.4,46:10.6,57:41.8,2/13/2022
2095,395,96,40095,completed,completed,TRUE,50,5.00,9,64.00,44:04.0,55:35.2,07:06.4,18:37.6,30:08.8,1/1/2022
2096,396,97,40096,completed,completed,TRUE,30,3.00,9,42.00,13:42.0,25:13.2,36:44.4,48:15.6,59:46.8,2/13/2022
2097,397,98,40097,completed,completed,TRUE,16,1.60,13,30.60,05:25.0,16:56.2,28:27.4,39:58.6,51:29.8,1/17/2022
2098,398,99,40098,completed,completed,TRUE,42,4.20,13,59.20,01:53.0,13:24.2,24:55.4,36:26.6,47:57.8,2/6/2022
2099,399,100,40099,completed,completed,TRUE,61,6.10,5,72.10,30:27.0,41:58.2,53:29.4,05:00.6,16:31.8,2/12/2022
2100,400,101,40100,completed,completed,TRUE,58,5.80,14,77.80,59:01.0,10:32.2,22:03.4,33:34.6,45:05.8,2/9/2022
2101,401,102,40101,completed,completed,TRUE,69,6.90,12,87.90,43:39.0,55:10.2,06:41.4,18:12.6,29:43.8,1/14/2022
2102,402,103,40102,completed,completed,TRUE,48,4.80,15,67.80,15:01.0,26:32.2,38:03.4,49:34.6,01:05.8,2/23/2022
2103,403,104,40103,completed,completed,TRUE,35,3.50,10,48.50,41:55.0,53:26.2,04:57.4,16:28.6,27:59.8,2/23/2022
2104,404,105,40104,completed,completed,TRUE,63,6.30,5,74.30,18:33.0,30:04.2,41:35.4,53:06.6,04:37.8,1/2/2022
2105,405,106,40105,completed,completed,TRUE,58,5.80,8,71.80,20:39.0,32:10.2,43:41.4,55:12.6,06:43.8,2/13/2022
2106,406,107,40106,completed,completed,TRUE,51,5.10,15,71.10,29:56.0,41:27.2,52:58.4,04:29.6,16:00.8,1/3/2022
2107,407,108,40107,completed,completed,TRUE,45,4.50,10,59.50,39:38.0,51:09.2,02:40.4,14:11.6,25:42.8,2/2/2022
2108,408,109,40108,completed,completed,TRUE,23,2.30,15,40.30,53:51.0,05:22.2,16:53.4,28:24.6,39:55.8,1/15/2022
2109,409,110,40109,completed,completed,TRUE,36,3.60,12,51.60,11:37.0,23:08.2,34:39.4,46:10.6,57:41.8,2/1/2022
2110,410,111,40110,completed,completed,TRUE,16,1.60,12,29.60,48:56.0,00:27.2,11:58.4,23:29.6,35:00.8,1/21/2022
2111,411,112,40111,completed,completed,TRUE,51,5.10,14,70.10,36:38.0,48:09.2,59:40.4,11:11.6,22:42.8,2/13/2022
2112,412,113,40112,completed,completed,TRUE,34,3.40,10,47.40,25:07.0,36:38.2,48:09.4,59:40.6,11:11.8,1/4/2022
2113,413,114,40113,completed,completed,TRUE,29,2.90,8,39.90,53:26.0,04:57.2,16:28.4,27:59.6,39:30.8,2/12/2022
2114,414,115,40114,completed,completed,TRUE,16,1.60,15,32.60,27:12.0,38:43.2,50:14.4,01:45.6,13:16.8,2/13/2022
2115,415,116,40115,completed,completed,TRUE,45,4.50,10,59.50,46:18.0,57:49.2,09:20.4,20:51.6,32:22.8,1/23/2022
2116,416,117,40116,completed,completed,TRUE,15,1.50,15,31.50,36:24.0,47:55.2,59:26.4,10:57.6,22:28.8,1/2/2022
2117,417,118,40117,completed,completed,TRUE,45,4.50,7,56.50,33:53.0,45:24.2,56:55.4,08:26.6,19:57.8,2/23/2022
2118,418,119,40118,completed,completed,TRUE,64,6.40,5,75.40,26:11.0,37:42.2,49:13.4,00:44.6,12:15.8,1/12/2022
2119,419,120,40119,completed,completed,TRUE,19,1.90,15,35.90,12:39.0,24:10.2,35:41.4,47:12.6,58:43.8,2/28/2022
2120,420,121,40120,completed,completed,TRUE,42,4.20,11,57.20,40:11.0,51:42.2,03:13.4,14:44.6,26:15.8,1/23/2022
2121,421,122,40121,completed,completed,TRUE,22,2.20,5,29.20,19:32.0,31:03.2,42:34.4,54:05.6,05:36.8,1/30/2022
2122,422,123,40122,completed,completed,TRUE,19,1.90,5,25.90,29:26.0,40:57.2,52:28.4,03:59.6,15:30.8,1/14/2022
2123,423,124,40123,completed,completed,TRUE,21,2.10,14,37.10,36:51.0,48:22.2,59:53.4,11:24.6,22:55.8,1/2/2022
2124,424,125,40124,completed,completed,TRUE,41,4.10,14,59.10,33:46.0,45:17.2,56:48.4,08:19.6,19:50.8,1/17/2022
2125,425,126,40125,completed,completed,TRUE,35,3.50,11,49.50,00:51.0,12:22.2,23:53.4,35:24.6,46:55.8,2/3/2022
2126,426,127,40126,completed,completed,TRUE,26,2.60,12,40.60,14:29.0,26:00.2,37:31.4,49:02.6,00:33.8,2/1/2022
2127,427,128,40127,completed,completed,TRUE,37,3.70,7,47.70,39:16.0,50:47.2,02:18.4,13:49.6,25:20.8,1/30/2022
2128,428,129,40128,completed,completed,TRUE,64,6.40,7,77.40,48:02.0,59:33.2,11:04.4,22:35.6,34:06.8,2/13/2022
2129,429,130,40129,completed,completed,TRUE,23,2.30,5,30.30,31:29.0,43:00.2,54:31.4,06:02.6,17:33.8,1/11/2022
2130,430,131,40130,completed,completed,TRUE,53,5.30,11,69.30,33:15.0,44:46.2,56:17.4,07:48.6,19:19.8,1/3/2022
2131,431,132,40131,completed,completed,TRUE,46,4.60,13,63.60,47:22.0,58:53.2,10:24.4,21:55.6,33:26.8,2/20/2022
2132,432,133,40132,completed,completed,TRUE,48,4.80,12,64.80,19:57.0,31:28.2,42:59.4,54:30.6,06:01.8,2/14/2022
2133,433,134,40133,completed,completed,TRUE,30,3.00,7,40.00,01:44.0,13:15.2,24:46.4,36:17.6,47:48.8,1/14/2022
2134,434,135,40134,completed,completed,TRUE,56,5.60,15,76.60,38:46.0,50:17.2,01:48.4,13:19.6,24:50.8,1/4/2022
2135,435,136,40135,completed,completed,TRUE,59,5.90,12,76.90,15:56.0,27:27.2,38:58.4,50:29.6,02:00.8,1/17/2022
2136,436,137,40136,completed,completed,TRUE,54,5.40,8,67.40,38:19.0,49:50.2,01:21.4,12:52.6,24:23.8,2/11/2022
2137,437,138,40137,completed,completed,TRUE,47,4.70,7,58.70,14:45.0,26:16.2,37:47.4,49:18.6,00:49.8,2/9/2022
2138,438,139,40138,completed,completed,TRUE,59,5.90,6,70.90,04:41.0,16:12.2,27:43.4,39:14.6,50:45.8,2/1/2022
2139,439,140,40139,completed,completed,TRUE,36,3.60,12,51.60,46:07.0,57:38.2,09:09.4,20:40.6,32:11.8,1/13/2022
2140,440,141,40140,completed,completed,TRUE,40,4.00,8,52.00,33:30.0,45:01.2,56:32.4,08:03.6,19:34.8,1/27/2022
2141,441,142,40141,completed,completed,TRUE,41,4.10,9,54.10,27:03.0,38:34.2,50:05.4,01:36.6,13:07.8,2/21/2022
2142,442,143,40142,completed,completed,TRUE,37,3.70,12,52.70,59:22.0,10:53.2,22:24.4,33:55.6,45:26.8,1/27/2022
2143,443,144,40143,completed,completed,TRUE,64,6.40,6,76.40,36:26.0,47:57.2,59:28.4,10:59.6,22:30.8,2/7/2022
2144,444,145,40144,completed,completed,TRUE,48,4.80,13,65.80,29:18.0,40:49.2,52:20.4,03:51.6,15:22.8,2/7/2022
2145,445,146,40145,completed,completed,TRUE,22,2.20,7,31.20,13:29.0,25:00.2,36:31.4,48:02.6,59:33.8,2/20/2022
2146,446,147,40146,completed,completed,TRUE,46,4.60,12,62.60,55:13.0,06:44.2,18:15.4,29:46.6,41:17.8,1/8/2022
2147,447,148,40147,completed,completed,TRUE,31,3.10,13,47.10,28:59.0,40:30.2,52:01.4,03:32.6,15:03.8,1/8/2022
2148,448,149,40148,completed,completed,TRUE,45,4.50,9,58.50,27:06.0,38:37.2,50:08.4,01:39.6,13:10.8,1/26/2022
2149,449,150,40149,completed,completed,TRUE,17,1.70,15,33.70,59:48.0,11:19.2,22:50.4,34:21.6,45:52.8,2/12/2022
2150,450,151,40150,completed,completed,TRUE,51,5.10,11,67.10,19:00.0,30:31.2,42:02.4,53:33.6,05:04.8,1/11/2022
2151,451,152,40151,completed,completed,TRUE,68,6.80,7,81.80,50:09.0,01:40.2,13:11.4,24:42.6,36:13.8,1/5/2022
2152,452,153,40152,completed,completed,TRUE,37,3.70,8,48.70,09:25.0,20:56.2,32:27.4,43:58.6,55:29.8,2/24/2022
2153,453,154,40153,completed,completed,TRUE,40,4.00,8,52.00,14:18.0,25:49.2,37:20.4,48:51.6,00:22.8,2/14/2022
2154,454,155,40154,completed,completed,TRUE,40,4.00,6,50.00,18:03.0,29:34.2,41:05.4,52:36.6,04:07.8,2/11/2022
2155,455,156,40155,completed,completed,TRUE,57,5.70,13,75.70,26:05.0,37:36.2,49:07.4,00:38.6,12:09.8,1/21/2022
2156,456,157,40156,completed,completed,TRUE,20,2.00,11,33.00,31:57.0,43:28.2,54:59.4,06:30.6,18:01.8,2/24/2022
2157,457,158,40157,completed,completed,TRUE,42,4.20,15,61.20,43:40.0,55:11.2,06:42.4,18:13.6,29:44.8,1/28/2022
2158,458,159,40158,completed,completed,TRUE,67,6.70,6,79.70,31:50.0,43:21.2,54:52.4,06:23.6,17:54.8,2/7/2022
2159,459,160,40159,completed,completed,TRUE,33,3.30,14,50.30,18:31.0,30:02.2,41:33.4,53:04.6,04:35.8,2/12/2022
2160,460,161,40160,completed,completed,TRUE,21,2.10,11,34.10,20:26.0,31:57.2,43:28.4,54:59.6,06:30.8,2/23/2022
2161,461,162,40161,completed,completed,TRUE,26,2.60,9,37.60,35:50.0,47:21.2,58:52.4,10:23.6,21:54.8,1/9/2022
2162,462,163,40162,completed,completed,TRUE,47,4.70,7,58.70,58:10.0,09:41.2,21:12.4,32:43.6,44:14.8,1/9/2022
2163,463,164,40163,completed,completed,TRUE,19,1.90,12,32.90,17:42.0,29:13.2,40:44.4,52:15.6,03:46.8,2/13/2022
2164,464,165,40164,completed,completed,TRUE,29,2.90,10,41.90,20:23.0,31:54.2,43:25.4,54:56.6,06:27.8,1/10/2022
2165,465,166,40165,completed,completed,TRUE,54,5.40,6,65.40,56:16.0,07:47.2,19:18.4,30:49.6,42:20.8,2/21/2022
2166,466,167,40166,completed,completed,TRUE,23,2.30,7,32.30,07:35.0,19:06.2,30:37.4,42:08.6,53:39.8,2/5/2022
2167,467,168,40167,completed,completed,TRUE,19,1.90,8,28.90,24:54.0,36:25.2,47:56.4,59:27.6,10:58.8,1/3/2022
2168,468,169,40168,completed,completed,TRUE,51,5.10,13,69.10,05:12.0,16:43.2,28:14.4,39:45.6,51:16.8,1/4/2022
2169,469,170,40169,completed,completed,TRUE,44,4.40,6,54.40,32:38.0,44:09.2,55:40.4,07:11.6,18:42.8,2/11/2022
2170,470,171,40170,completed,completed,TRUE,35,3.50,12,50.50,48:53.0,00:24.2,11:55.4,23:26.6,34:57.8,2/15/2022
2171,471,172,40171,completed,completed,TRUE,48,4.80,9,61.80,57:29.0,09:00.2,20:31.4,32:02.6,43:33.8,1/1/2022
2172,472,173,40172,completed,completed,TRUE,64,6.40,10,80.40,49:39.0,01:10.2,12:41.4,24:12.6,35:43.8,1/16/2022
2173,473,174,40173,completed,completed,TRUE,26,2.60,14,42.60,55:27.0,06:58.2,18:29.4,30:00.6,41:31.8,1/17/2022
2174,474,175,40174,completed,completed,TRUE,49,4.90,9,62.90,43:55.0,55:26.2,06:57.4,18:28.6,29:59.8,2/15/2022
2175,475,176,40175,completed,completed,TRUE,49,4.90,15,68.90,35:48.0,47:19.2,58:50.4,10:21.6,21:52.8,1/12/2022
2176,476,177,40176,completed,completed,TRUE,44,4.40,8,56.40,03:17.0,14:48.2,26:19.4,37:50.6,49:21.8,2/25/2022
2177,477,178,40177,completed,completed,TRUE,35,3.50,13,51.50,01:10.0,12:41.2,24:12.4,35:43.6,47:14.8,2/1/2022
2178,478,179,40178,completed,completed,TRUE,18,1.80,15,34.80,08:17.0,19:48.2,31:19.4,42:50.6,54:21.8,2/5/2022
2179,479,180,40179,completed,completed,TRUE,20,2.00,11,33.00,01:17.0,12:48.2,24:19.4,35:50.6,47:21.8,2/13/2022
2180,480,181,40180,completed,completed,TRUE,58,5.80,10,73.80,10:03.0,21:34.2,33:05.4,44:36.6,56:07.8,2/7/2022
2181,481,182,40181,completed,completed,TRUE,32,3.20,7,42.20,07:06.0,18:37.2,30:08.4,41:39.6,53:10.8,1/1/2022
2182,482,183,40182,completed,completed,TRUE,25,2.50,9,36.50,40:15.0,51:46.2,03:17.4,14:48.6,26:19.8,2/13/2022
2183,483,184,40183,completed,completed,TRUE,48,4.80,8,60.80,31:43.0,43:14.2,54:45.4,06:16.6,17:47.8,2/21/2022
2184,484,185,40184,completed,completed,TRUE,38,3.80,5,46.80,17:25.0,28:56.2,40:27.4,51:58.6,03:29.8,1/8/2022
2185,485,186,40185,completed,completed,TRUE,58,5.80,11,74.80,16:09.0,27:40.2,39:11.4,50:42.6,02:13.8,2/18/2022
2186,486,187,40186,completed,completed,TRUE,17,1.70,8,26.70,48:41.0,00:12.2,11:43.4,23:14.6,34:45.8,1/2/2022
2187,487,188,40187,completed,completed,TRUE,53,5.30,8,66.30,39:34.0,51:05.2,02:36.4,14:07.6,25:38.8,2/13/2022
2188,488,189,40188,completed,completed,TRUE,37,3.70,14,54.70,40:34.0,52:05.2,03:36.4,15:07.6,26:38.8,2/18/2022
2189,489,190,40189,completed,completed,TRUE,51,5.10,9,65.10,02:09.0,13:40.2,25:11.4,36:42.6,48:13.8,1/10/2022
2190,490,191,40190,completed,completed,TRUE,37,3.70,10,50.70,46:04.0,57:35.2,09:06.4,20:37.6,32:08.8,2/20/2022
2191,491,192,40191,completed,completed,TRUE,37,3.70,11,51.70,25:45.0,37:16.2,48:47.4,00:18.6,11:49.8,2/13/2022
2192,492,193,40192,completed,completed,TRUE,51,5.10,9,65.10,14:00.0,25:31.2,37:02.4,48:33.6,00:04.8,2/9/2022
2193,493,194,40193,completed,completed,TRUE,36,3.60,15,54.60,45:29.0,57:00.2,08:31.4,20:02.6,31:33.8,2/17/2022
2194,494,195,40194,completed,completed,TRUE,55,5.50,14,74.50,31:59.0,43:30.2,55:01.4,06:32.6,18:03.8,2/27/2022
