restaurant_id,name,address,category,city,country,postalCode,state,status,expected_prep_time,max_delivery_radius,is_delivery,is_pickup,first_order_date
40023,Checkers,17620 Grand River Ave,Fast Food Restaurant,Detroit,US,48227,MI,DELETED,32,12,Yes,Yes,5/29/2021
40024,Little Q Hot Pot,196 Massachusetts Ave,Fast Food Restaurants,Arlington,US,2474,MA,DELETED,39,8,Yes,Yes,9/26/2021
40025,McDonald's,1224 State St,Fast Food,Schenectady,US,12304,NY,ACTIVE,28,13,Yes,Yes,7/30/2021
40026,McDonald's,1232 Ulster Ave,Fast Food Restaurant,Kingston,US,12401,NY,ACTIVE,25,9,Yes,Yes,9/22/2021
40027,McDonald's,1188 Avenue of The Americas,Fast Food Restaurant,New York,US,10036,NY,ACTIVE,22,10,Yes,Yes,1/8/2021
40028,McDonald's,114 Delancey St,Fast Food Restaurant,New York,US,10002,NY,ACTIVE,25,8,Yes,Yes,6/22/2021
40029,McDonald's,1050 Front St,Fast Food Restaurants,Uniondale,US,11553,NY,ACTIVE,20,12,Yes,Yes,1/27/2021
40030,McDonald's,105 Jericho Tpke,Fast Food Restaurant,Jericho,US,11753,NY,ACTIVE,37,11,Yes,Yes,1/19/2021
40031,McDonald's,105 Jericho Tpke,Fast Food,Jericho,US,11753,NY,ACTIVE,21,15,Yes,Yes,1/19/2021
40032,McDonald's,106 Wolf Rd,Fast Food Restaurants,Albany,US,12205,NY,ACTIVE,30,5,Yes,Yes,12/27/2021
40033,McDonald's,101 E 170th St,Fast Food,Bronx,US,10452,NY,ACTIVE,35,9,Yes,Yes,5/28/2021
40034,McDonald's,103 Brookview Dr,Fast Food,Schenectady,US,12303,NY,ACTIVE,32,13,Yes,Yes,8/1/2021
40035,McDonald's,1028 Mckinley Pkwy,Fast Food Restaurants,Buffalo,US,14220,NY,ACTIVE,30,9,Yes,Yes,12/20/2021
40036,McDonald's,10 Main St,Fast Food Restaurants,Tonawanda,US,14150,NY,ACTIVE,31,9,Yes,Yes,9/1/2021
40037,McDonald's,300 Mishawum Rd,Fast Food,Woburn,US,1801,MA,ACTIVE,37,14,Yes,Yes,1/8/2021
40038,McDonald's,1190 Providence Rd,Fast Food Restaurant,Whitinsville,US,1588,MA,ACTIVE,40,12,Yes,Yes,2/13/2021
40039,McDonald's,212 Main St,Fast Food,Wilmington,US,1887,MA,ACTIVE,29,11,Yes,Yes,10/19/2021
40040,McDonald's,44 E Main St,Fast Food,Webster,US,1570,MA,REJECTED,24,6,Yes,Yes,12/11/2021
40041,McDonald's,789 Main St,Fast Food,Waltham,US,2451,MA,ACTIVE,29,7,Yes,Yes,10/31/2021
40042,McDonald's,20 Main St,Fast Food Restaurant,Townsend,US,1469,MA,ACTIVE,26,8,Yes,Yes,3/8/2021
40043,McDonald's,595 Main St,Fast Food Restaurant,Walpole,US,2081,MA,ACTIVE,37,7,Yes,Yes,11/1/2021
40044,McDonald's,282 Winthrop St,Fast Food,Taunton,US,2780,MA,ACTIVE,25,11,Yes,Yes,5/23/2021
40045,McDonald's,660 Liberty St,Fast Food,Springfield,US,1104,MA,ACTIVE,39,5,Yes,Yes,10/28/2021
40046,McDonald's,360 Main St,Fast Food Restaurants,Springfield,US,1105,MA,ACTIVE,25,6,Yes,Yes,11/30/2021
40047,McDonald's,2392 Main St,Fast Food Restaurants,Springfield,US,1107,MA,ACTIVE,29,12,Yes,Yes,10/15/2021
40048,McDonald's,1402 Allen St,Fast Food Restaurant,Springfield,US,1118,MA,DELETED,32,14,Yes,Yes,2/25/2021
40049,McDonald's,1610 Boston Rd,Fast Food Restaurants,Springfield,US,1129,MA,ACTIVE,35,10,Yes,Yes,1/23/2021
40050,McDonald's,59 W Main St,Fast Food Restaurants,Spencer,US,1562,MA,ACTIVE,23,5,Yes,Yes,6/25/2021
40051,McDonald's,59 W Main St,Fast Food,Spencer,US,1562,MA,ACTIVE,23,12,Yes,Yes,6/26/2021
40052,Five Guys,1433 SW 107th Ave,Fast Food Restaurant,Miami,US,33174,FL,ACTIVE,24,7,Yes,Yes,2/22/2021
40053,Taco Bell,1601 W Kirby St,Fast Food Restaurant and Mexican Restaurant,Wylie,US,75098,TX,ACTIVE,24,7,Yes,Yes,10/21/2021
40054,Taco Bell,7425 S Broadway Ave,Fast Food Restaurant,Tyler,US,75703,TX,ACTIVE,20,14,Yes,Yes,6/16/2021
40055,Burger King,100 Business Loop 70 E,Fast Food Restaurants,Columbia,US,65203,MO,DELETED,26,11,Yes,Yes,5/7/2021
40056,Wendy's,615 Martin Luther King Jr Blvd,Fast Food Restaurant and Burger Joint,Savannah,US,31401,GA,ACTIVE,40,8,Yes,Yes,2/16/2021
40057,Wendy's,1123 Roswell Rd,Fast Food Restaurant and Burger Joint,Marietta,US,30062,GA,ACTIVE,28,10,Yes,Yes,6/30/2021
40058,Wendy's,273 Keys Ferry St,Fast Food Restaurants,McDonough,US,30253,GA,ACTIVE,38,12,Yes,Yes,8/26/2021
40059,Wendy's,1117 W Spring St,Fast Food Restaurant,Monroe,US,30655,GA,ACTIVE,29,8,Yes,Yes,2/21/2021
40060,Wendy's,430 S Belair Rd,Fast Food Restaurants,Augusta,US,30907,GA,ACTIVE,29,10,Yes,Yes,7/6/2021
40061,Wendy's,2341 N Columbia St,Fast Food Restaurant,Milledgeville,US,31061,GA,ACTIVE,31,11,Yes,Yes,12/30/2021
40062,Wendy's,260 Cooper Rd,Fast Food Restaurant and Burger Joint,Loganville,US,30052,GA,DELETED,24,11,Yes,Yes,9/18/2021
40063,Wendy's,4331 Atlanta Hwy,Fast Food Restaurant,Loganville,US,30052,GA,DELETED,27,14,Yes,Yes,7/17/2021
40064,Wendy's,3015 Panola Rd,Fast Food Restaurant,Lithonia,US,30038,GA,DELETED,21,8,Yes,Yes,11/27/2021
40065,Burger King,184 Endicott St,Fast food restaurants,Danvers,US,1923,MA,ACTIVE,22,10,Yes,Yes,6/22/2021
40066,Boston Road Pizza,1291 Boston Rd,Fast Food Restaurants,Springfield,US,1119,MA,ACTIVE,36,15,Yes,Yes,7/11/2021
40067,McDonald's,6134 State Route 14,Fast Food Restaurant,Ravenna,US,44266,OH,ACTIVE,23,14,Yes,Yes,5/27/2021
40068,Boston Market,4402 Little Rd,Fast Food Restaurant,Arlington,US,76016,TX,ACTIVE,28,10,Yes,Yes,10/14/2021
40069,D'Angelo Grilled Sandwiches,15 Highland Ave,Fast Food Restaurants,Attleboro,US,2703,MA,ACTIVE,22,6,Yes,Yes,12/2/2021
40070,Burger King,2992 Jamacha Rd,Fast Food,El Cajon,US,92019,CA,ACTIVE,39,12,Yes,Yes,9/15/2021
40071,Boston Market,706 Fletcher Pkwy,Fast Food Restaurants,El Cajon,US,92020,CA,ACTIVE,29,14,Yes,Yes,11/7/2021
40072,Boston Market,706 Fletcher Pkwy,Fast Food Restaurant,El Cajon,US,92020,CA,ACTIVE,37,8,Yes,Yes,5/6/2021
40073,Burger King,822 N Johnson Ave,Fast food restaurants,El Cajon,US,92020,CA,DELETED,24,8,Yes,Yes,8/3/2021
40074,Nino's Pizzarama,2819 Easton Rd,Fast Food Restaurants,Willow Grove,US,19090,PA,ACTIVE,32,13,Yes,Yes,11/3/2021
40075,Carl's Jr,8924 Sierra Ave,Fast Food Restaurant,Fontana,US,92335,CA,ACTIVE,22,9,Yes,Yes,7/25/2021
40076,Carl's Jr,18025 Ventura Blvd,Fast Food,Encino,US,91316,CA,ACTIVE,38,8,Yes,Yes,7/16/2021
40077,Burger King,242 N El Camino Real,Fast food restaurants,Encinitas,US,92024,CA,ACTIVE,28,6,Yes,Yes,2/19/2021
40078,Carl's Jr,9002 Firestone Blvd,Fast Food Restaurant,Downey,US,90241,CA,ACTIVE,31,8,Yes,Yes,12/1/2021
40079,Carl's Jr,9110 Imperial Hwy,Fast Food Restaurants,Downey,US,90242,CA,ACTIVE,33,5,Yes,Yes,12/17/2021
40080,Filippi's Pizza Grotto,962 Garnet Ave,Fast Food Restaurants,San Diego,US,92109,CA,ACTIVE,20,9,Yes,Yes,8/2/2021
40081,Burger King,7011 Barker Cypress Rd,Fast food restaurants,Cypress,US,77433,TX,ACTIVE,40,7,Yes,Yes,7/25/2021
40082,Burger King,7011 Barker Cypress Rd,Fast Food Restaurant and Burger Joint,Cypress,US,77433,TX,ACTIVE,26,8,Yes,Yes,4/24/2021
40083,Boston Market,2180 Contra Costa Blvd,Fast Food Restaurant,Pleasant Hill,US,94523,CA,ACTIVE,23,7,Yes,Yes,6/4/2021
40084,Jack in the Box,3035 Castro Valley Blvd,Fast Food,Castro Valley,US,94546,CA,DELETED,39,6,Yes,Yes,8/29/2021
40085,Round Table Pizza,4302 Moorpark Ave,Fast Food,San Jose,US,95129,CA,ACTIVE,38,8,Yes,Yes,10/21/2021
40086,El Pollo Loco,1751 S Alameda St,Fast Food Restaurants,Compton,US,90220,CA,ACTIVE,29,13,Yes,Yes,1/29/2021
40087,Arby's,2244 Otay Lakes Rd,Fast Food Restaurant,Chula Vista,US,91915,CA,ACTIVE,29,5,Yes,Yes,11/29/2021
40088,Burger King,962 East Ave,Fast food restaurants,Chico,US,95926,CA,ACTIVE,27,15,Yes,Yes,5/14/2021
40089,In-N-Out Burger,1170 W Branch St,Fast Food Restaurants,Arroyo Grande,US,93420,CA,DELETED,30,10,Yes,Yes,1/13/2021
40090,Copper Oven Artisan Pizza,73196 Highway 111,Fast Food Restaurants,Palm Desert,US,92260,CA,ACTIVE,23,13,Yes,Yes,9/22/2021
40091,Carl's Jr,20900 Roscoe Blvd,Fast Food Restaurant,Canoga Park,US,91304,CA,ACTIVE,24,7,Yes,Yes,12/6/2021
40092,McDonald's,1760 41st Ave,Fast Food Restaurant,Capitola,US,95010,CA,ACTIVE,38,6,Yes,Yes,8/21/2021
40093,Carl's Jr,401 Las Posas Rd,Fast Food Restaurant,Camarillo,US,93010,CA,ACTIVE,25,5,Yes,Yes,8/11/2021
40094,Del Taco,2871 Lenwood Rd,"Fast Food Restaurant, Mexican Restaurant, and Taco Place",Barstow,US,92311,CA,DELETED,34,5,Yes,Yes,9/6/2021
40095,Del Taco,12690 Ramona Blvd,Fast Food Restaurant,Baldwin Park,US,91706,CA,ACTIVE,23,15,Yes,Yes,2/16/2021
40096,Little Caesars Pizza,1210 N Hacienda Blvd,Fast Food,La Puente,US,91744,CA,ACTIVE,37,15,Yes,Yes,1/14/2021
40097,McDonald's,562 N Main St,Fast Food Restaurant,Bishop,US,93514,CA,ACTIVE,27,6,Yes,Yes,11/6/2021
40098,McDonald's,1310 E Lamar St,Fast Food Restaurants,Americus,US,31709,GA,ACTIVE,21,8,Yes,Yes,7/15/2021
40099,Burger King,2009 E Greenville St,Fast Food Restaurant,Anderson,US,29621,SC,ACTIVE,22,5,Yes,Yes,4/17/2021
40100,Carl's Jr,2521 W Commonwealth Ave,Fast Food Restaurant,Alhambra,US,91803,CA,ACTIVE,36,8,Yes,Yes,2/18/2021
40101,Sbarro,3450 Wrightsboro Rd Ste 2340,Fast Food Restaurants,Augusta,US,30909,GA,ACTIVE,32,14,Yes,Yes,10/29/2021
40102,Casey's General Store,810 Oak Ave,Fast Food,Neoga,US,62447,IL,DELETED,34,14,Yes,Yes,11/7/2021
40103,Casey's General Store,701 S Van Buren St,Fast Food,Newton,US,62448,IL,ACTIVE,32,12,Yes,Yes,2/5/2021
40104,Chipotle Mexican Grill,9175 De Soto Ave,Fast Food Restaurants,Chatsworth,US,91311,CA,ACTIVE,22,14,Yes,Yes,7/1/2021
40105,McDonald's,328 N Main St,Fast Food Restaurants,Cedartown,US,30125,GA,ACTIVE,27,12,Yes,Yes,8/9/2021
40106,Burger King,3025 Main St,Fast food restaurants,Glastonbury,US,6033,CT,ACTIVE,20,5,Yes,Yes,9/11/2021
40107,Boston Market,2834 Main St,"American Restaurant, Sandwich Place, and Fast Food Restaurant",Glastonbury,US,6033,CT,ACTIVE,40,6,Yes,Yes,6/3/2021
40108,McDonald's,605 E Broadway St,Fast Food Restaurant,Campbellsville,US,42718,KY,ACTIVE,25,6,Yes,Yes,2/12/2021
40109,SUBWAY,1602 E Broadway St,Fast Food Restaurant,Campbellsville,US,42718,KY,ACTIVE,31,12,Yes,Yes,5/29/2021
40110,Burger King,1475 Holiday Ln,Fast food restaurants,Fairfield,US,94534,CA,ACTIVE,20,14,Yes,Yes,5/13/2021
40111,Fat Patty's,1442 Winchester Ave,Fast Food Restaurants,Ashland,US,41101,KY,ACTIVE,28,9,Yes,Yes,8/21/2021
40112,Dairy Queen,12759 Us Route 60,Fast Food Restaurants,Ashland,US,41102,KY,ACTIVE,27,10,Yes,Yes,6/9/2021
40113,Pizza Hut,1439 S US Highway 1,Fast Food Restaurants,Fort Pierce,US,34950,FL,ACTIVE,22,5,Yes,Yes,8/4/2021
40114,Arby's,12915 Cortez Blvd,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Brooksville,US,34613,FL,ACTIVE,34,11,Yes,Yes,8/31/2021
40115,McDonald's,11671 Se Federal Hwy,Fast Food Restaurant,Hobe Sound,US,33455,FL,ACTIVE,29,11,Yes,Yes,11/25/2021
40116,Culver's,8792 Navarre Pkwy,Burger Joint and Fast Food Restaurant Gulf Breeze,Navarre,US,32566,FL,ACTIVE,39,14,Yes,Yes,2/13/2021
40117,Burger King,825 E 49th St,Fast food restaurants,Hialeah,US,33013,FL,ACTIVE,33,13,Yes,Yes,4/29/2021
40118,Pizza Hut,2750 W 68th St Ste 104,Fast Food,Hialeah,US,33016,FL,ACTIVE,33,8,Yes,Yes,12/24/2021
40119,Dairy Queen,36172 Hwy 27,Fast Food,Haines City,US,33844,FL,ACTIVE,28,8,Yes,Yes,2/4/2021
40120,Pizza Hut,52 Tuscan Way Ste 208,Fast Food Restaurants,Saint Augustine,US,32092,FL,ACTIVE,38,15,Yes,Yes,7/11/2021
40121,KFC,1232 Providence Blvd,Fast Food Restaurant,Deltona,US,32725,FL,ACTIVE,30,9,Yes,Yes,5/23/2021
40122,McDonald's,2370 US Highway 331 S,Fast food restaurants,DeFuniak Springs,US,32435,FL,ACTIVE,38,10,Yes,Yes,11/17/2021
40123,SONIC Drive-In,1508 US Highway 331 S,Fast Food Restaurant,DeFuniak Springs,US,32435,FL,ACTIVE,37,14,Yes,Yes,10/1/2021
40124,Whataburger,2434 US Highway 331 S,Fast Food Restaurants,DeFuniak Springs,US,32435,FL,ACTIVE,24,7,Yes,Yes,5/13/2021
40125,Arby's,9975 Corkscrew Rd,"Fast Food Restaurant, Sandwich Place, and American Restaurant",Estero,US,33928,FL,ACTIVE,33,7,Yes,Yes,7/30/2021
40126,Chick-Fil-A,519 Brandon Town Center Mall,Fast Food Restaurants,Brandon,US,33511,FL,ACTIVE,35,7,Yes,Yes,5/16/2021
40127,Taco Bell,865 S Main St,Fast Food Restaurant,Belle Glade,US,33430,FL,ACTIVE,36,13,Yes,Yes,11/28/2021
40128,McDonald's,339 US Highway 27 S,Fast Food Restaurant,Avon Park,US,33825,FL,ACTIVE,30,8,Yes,Yes,7/1/2021
40129,Pizza Hut,1498 US Highway 17 N,Fast Food Restaurants,Wauchula,US,33873,FL,ACTIVE,35,12,Yes,Yes,9/21/2021
40130,Firehouse Subs,1608 W Orange Blossom Trl,Fast Food,Apopka,US,32712,FL,ACTIVE,31,7,Yes,Yes,1/22/2021
40131,Burger King,460 Airways Ave,Fast Food Restaurant,Savannah,US,31408,GA,ACTIVE,21,12,Yes,Yes,9/24/2021
40132,SONIC Drive-In,1510 N Summit St,Fast Food Restaurant,Arkansas City,US,67005,KS,ACTIVE,24,7,Yes,Yes,10/28/2021
40133,McDonald's,2613 Central Ave,Fast Food Restaurants,Dodge City,US,67801,KS,ACTIVE,27,14,Yes,Yes,7/30/2021
40134,Burger King,2501 Se Delaware Ave,Fast Food Restaurants,Ankeny,US,50021,IA,ACTIVE,32,9,Yes,Yes,4/16/2021
40135,Burger King,2501 Se Delaware Ave,Fast Food Restaurant,Ankeny,US,50021,IA,ACTIVE,26,6,Yes,Yes,4/25/2021
40136,Cupie's Drive-In,134 W Kamehameha Ave,Fast Food Restaurants,Kahului,US,96732,HI,DELETED,21,6,Yes,Yes,4/10/2021
40137,Chick-Fil-A,230 S Duff Ave,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Ames,US,50010,IA,ACTIVE,23,12,Yes,Yes,5/5/2021
40138,Burger King,2817 E 13th St,Fast Food Restaurants,Ames,US,50010,IA,DELETED,35,12,Yes,Yes,3/9/2021
40139,Burger King,1020 E 1st St,Fast Food Restaurant,Ankeny,US,50021,IA,ACTIVE,28,10,Yes,Yes,12/25/2021
40140,Pizza Hut,2450 S Vista Ave,Fast Food Restaurants,Boise,US,83705,ID,DELETED,36,12,Yes,Yes,7/5/2021
40141,Burger King,1807 N Church St,Fast food restaurants,Burlington,US,27217,NC,ACTIVE,26,5,Yes,Yes,11/2/2021
40142,Dairy Queen,2535 18th St,Fast Food Restaurants,Bettendorf,US,52722,IA,ACTIVE,25,13,Yes,Yes,10/22/2021
40143,McDonald's,9320 Steele Creek Rd,Fast Food Restaurant,Charlotte,US,28273,NC,ACTIVE,23,15,Yes,Yes,3/23/2021
40144,Burger King,9640 Mariposa Rd,Fast Food Restaurant,Hesperia,US,92344,CA,DELETED,22,13,Yes,Yes,7/10/2021
40145,Burger King,17021 Main St,Fast food restaurants,Hesperia,US,92345,CA,ACTIVE,31,11,Yes,Yes,1/29/2021
40146,Del Taco,14485 Inglewood Ave,Fast Food Restaurant,Hawthorne,US,90250,CA,ACTIVE,32,5,Yes,Yes,1/12/2021
40147,Del Taco,18070 Chatsworth St,Fast Food Restaurant,Granada Hills,US,91344,CA,ACTIVE,36,7,Yes,Yes,2/28/2021
40148,Arby's,1200 Forrest Ave,Fast Food Restaurant,Dover,US,19904,DE,ACTIVE,26,14,Yes,Yes,6/24/2021
40149,Arby's,1200 Forrest Ave,Fast Food Restaurants,Dover,US,19904,DE,ACTIVE,20,8,Yes,Yes,3/5/2021
40150,McDonald's,300 Mccarter Rd,Fast Food Restaurants,Fountain Inn,US,29644,SC,ACTIVE,21,6,Yes,Yes,9/19/2021
40151,Burger King,2040 Cumberland St,Fast Food Restaurant,Lebanon,US,17042,PA,ACTIVE,28,8,Yes,Yes,6/21/2021
40152,Chipotle Mexican Grill,1451 Quentin Rd,Fast Food Restaurants,Lebanon,US,17042,PA,ACTIVE,28,6,Yes,Yes,4/30/2021
40153,Taco Bell,609 Naamans Rd,Fast Food Restaurants,Claymont,US,19703,DE,ACTIVE,35,8,Yes,Yes,4/22/2021
40154,Pizza Hut,5800 W Chandler Blvd,Fast Food,Chandler,US,85226,AZ,ACTIVE,22,5,Yes,Yes,7/10/2021
40155,McDonald's,1205 Commons Cir,Fast Food Restaurants,Plover,US,54467,WI,ACTIVE,23,5,Yes,Yes,6/14/2021
40156,Arby's,1099 S Blackhawk St,"Restaurant, Fast Food Restaurant, and Sandwich Place",Aurora,US,80012,CO,ACTIVE,31,10,Yes,Yes,5/21/2021
40157,Primo's Pizza,406 N Pershing St,Fast Food Restaurants,Energy,US,62933,IL,DELETED,26,13,Yes,Yes,11/2/2021
40158,Simple Simon's Pizza,201 Lee Town Rd,Fast Food Restaurants,Pea Ridge,US,72751,AR,ACTIVE,26,10,Yes,Yes,6/14/2021
40159,Arby's,3067 Wilma Rudolph Blvd,Fast Food Restaurants,Clarksville,US,37040,TN,ACTIVE,33,11,Yes,Yes,12/27/2021
40160,Dairy Queen,1635 W State St,Fast Food Restaurants,Alliance,US,44601,OH,ACTIVE,31,7,Yes,Yes,11/17/2021
40161,CASA Mexicana,5311 Highway 5 N Ste 240,Fast Food Restaurants,Bryant,US,72022,AR,ACTIVE,22,6,Yes,Yes,5/31/2021
40162,Burger King,3001 N Reynolds Rd,Fast Food Restaurant,Bryant,US,72022,AR,ACTIVE,33,13,Yes,Yes,5/15/2021
40163,Burger King,2275 E Butler Ave,Fast Food Restaurants,Flagstaff,US,86004,AZ,ACTIVE,28,10,Yes,Yes,2/1/2021
40164,Arby's,1818 6th St,Fast Food Restaurants,Brookings,US,57006,SD,ACTIVE,29,15,Yes,Yes,8/10/2021
40165,Arby's,1818 6th St,"Fast Food Restaurant, Sandwich Place, and American Restaurant",Brookings,US,57006,SD,ACTIVE,26,11,Yes,Yes,4/19/2021
40166,KFC,3051 W Apache Trl,Fast Food,Apache Junction,US,85120,AZ,ACTIVE,22,6,Yes,Yes,2/16/2021
40167,Burger King,Route 52 Airport Square,Fast Food Restaurants,Bluefield,US,24701,WV,ACTIVE,29,15,Yes,Yes,8/23/2021
40168,Bob Evans,102 Harper Park Dr,Fast Food Restaurants,Beckley,US,25801,WV,ACTIVE,33,13,Yes,Yes,5/5/2021
40169,Pizza Hut,1912 Harper Rd,Fast Food Restaurants,Beckley,US,25801,WV,ACTIVE,32,13,Yes,Yes,2/14/2021
40170,Players Grill,1855 Deerfield Rd,Fast Food Restaurants,Highland Park,US,60035,IL,DELETED,20,13,Yes,Yes,9/16/2021
40171,Burger King,3 Clarksburg Rd,Fast Food Restaurants,Buckhannon,US,26201,WV,ACTIVE,40,6,Yes,Yes,3/29/2021
40172,Arby's,302 Yellowstone Ave,Fast Food,Cody,US,82414,WY,ACTIVE,21,8,Yes,Yes,3/15/2021
40173,Burger King,1902 Mountain View Dr,Fast Food Restaurant,Cody,US,82414,WY,ACTIVE,20,15,Yes,Yes,8/3/2021
40174,Pizza Hut,5320 Yellowstone Rd,Fast Food Restaurants,Cheyenne,US,82009,WY,ACTIVE,22,7,Yes,Yes,7/17/2021
40175,Back Yard Burgers,1100 Poplar View Ln N,Fast Food Restaurants,Collierville,US,38017,TN,ACTIVE,39,13,Yes,Yes,9/18/2021
40176,Arby's,967 W Poplar Ave,Fast Food Restaurants,Collierville,US,38017,TN,ACTIVE,37,8,Yes,Yes,4/24/2021
40177,Arby's,2607 Cy Ave,Fast Food Restaurants,Casper,US,82604,WY,ACTIVE,35,11,Yes,Yes,9/5/2021
40178,Arby's,1860 N Germantown Pkwy,Fast Food Restaurants,Cordova,US,38016,TN,ACTIVE,39,12,Yes,Yes,9/30/2021
40179,SUBWAY,310 W Grand Xing,Fast Food Restaurants,Mobridge,US,57601,SD,ACTIVE,40,14,Yes,Yes,6/7/2021
40180,Arby's,1502 N Clinton St,Fast Food,Defiance,US,43512,OH,ACTIVE,21,13,Yes,Yes,4/9/2021
40181,Pizza Hut,1133 N Clinton St,Fast Food Restaurants,Defiance,US,43512,OH,ACTIVE,37,6,Yes,Yes,6/4/2021
40182,Pizza Hut,11 W Dayton Yellow Springs Rd,Fast Food Restaurants,Fairborn,US,45324,OH,ACTIVE,34,9,Yes,Yes,3/21/2021
40183,Arby's,1205 6th Ave Se,Fast Food,Aberdeen,US,57401,SD,DELETED,33,10,Yes,Yes,4/24/2021
40184,McDonald's,2260 Highway 394,Fast Food Restaurant,Blountville,US,37617,TN,ACTIVE,24,7,Yes,Yes,7/6/2021
40185,McDonald's,214 Carolina Pottery Dr,Fast food restaurants,Blountville,US,37617,TN,ACTIVE,40,15,Yes,Yes,4/1/2021
40186,Arby's,1313 Highway 394,Fast Food Restaurant,Blountville,US,37617,TN,ACTIVE,38,5,Yes,Yes,7/28/2021
40187,Arby's,1313 Highway 394,Fast Food,Blountville,US,37617,TN,ACTIVE,30,6,Yes,Yes,10/22/2021
40188,Burger King,100 Prince Royal Dr,Fast Food Restaurants,Berea,US,40403,KY,ACTIVE,20,15,Yes,Yes,6/27/2021
40189,Italo's Pizza,16311 State Route 267,Fast Food Restaurants,East Liverpool,US,43920,OH,ACTIVE,33,9,Yes,Yes,7/16/2021
40190,Dairy Queen,900 W 8th St,Ice Cream Shop and Fast Food Restaurant,East Liverpool,US,43920,OH,ACTIVE,27,14,Yes,Yes,11/19/2021
40191,Hunan Gardens,723 Saratoga Ave,Fast Food Restaurants,Lima,US,45804,OH,ACTIVE,39,12,Yes,Yes,3/19/2021
40192,Burger King,23777 Us Route 23,Fast Food Restaurant,Circleville,US,43113,OH,ACTIVE,36,12,Yes,Yes,9/1/2021
40193,Burger King,414 Water St,Fast food restaurants,Chardon,US,44024,OH,ACTIVE,21,14,Yes,Yes,2/10/2021
40194,Burger King,2005 S Main St,Fast Food Restaurant,Bellefontaine,US,43311,OH,ACTIVE,34,8,Yes,Yes,8/26/2021
